id,timestamp,session_id,task_id,object_id,label,success,grasp_confirmed_sensor,grasp_confirmed_vlm,contact_stop,drift_xy_mm,drift_z_mm,cycle_time_s,detail_json
1,2026-05-11T10:53:04.450576,session_20260511_104514,1,obj_001,,1,1,1,,,,158.424181,"{""error"": null}"
2,2026-05-11T10:56:59.888250,session_20260511_104514,1,obj_002,,1,1,1,,,,165.716582,"{""error"": null}"
3,2026-05-11T11:00:50.801918,session_20260511_104514,1,obj_003,,1,1,1,,,,165.693491,"{""error"": null}"
4,2026-05-11T11:18:37.212356,session_20260511_111225,1,obj_001,,1,1,1,,,,242.64359,"{""error"": null}"
5,2026-05-11T11:22:41.116512,session_20260511_111225,1,obj_002,,1,1,1,,,,179.419104,"{""error"": null}"
6,2026-05-11T11:24:17.917867,session_20260511_111225,1,obj_003,,0,,,,,,30.934571,"{""error"": ""no_part_visible_wrist""}"
7,2026-05-11T11:25:42.410879,session_20260511_111225,1,obj_001,,0,,,,,,30.661026,"{""error"": ""no_part_visible_wrist""}"
8,2026-05-11T11:27:31.306650,session_20260511_111225,1,obj_001,,0,,,,,,30.62428,"{""error"": ""no_part_visible_wrist""}"
9,2026-05-11T11:36:49.093658,session_20260511_113234,1,obj_002,,1,1,1,,,,143.039409,"{""error"": null}"
10,2026-05-11T11:40:35.566678,session_20260511_113234,1,obj_005,,0,,,,,,151.93086,"{""error"": ""descend_failed""}"
11,2026-05-11T11:52:29.232881,session_20260511_114801,1,obj_004,,1,1,1,,,,158.150618,"{""error"": null}"
12,2026-05-11T11:55:38.016511,session_20260511_114801,1,obj_005,,1,1,1,,,,131.884125,"{""error"": null}"
13,2026-05-11T11:57:10.621733,session_20260511_114801,1,obj_004,,0,,,,,,30.953206,"{""error"": ""no_part_visible_wrist""}"
14,2026-05-11T12:27:12.283581,session_20260511_122130,2,obj_004,,1,1,1,,,,146.867893,"{""error"": null}"
15,2026-05-11T12:33:50.062628,session_20260511_122130,2,obj_005,,1,1,1,,,,333.626826,"{""error"": null}"
16,2026-05-11T12:36:36.520388,session_20260511_122130,2,obj_004,,0,,,,,,92.356964,"{""error"": ""no_part_visible_wrist""}"
17,2026-05-11T15:36:17.950528,session_20260511_152839,1,obj_004,,1,1,1,,,,157.711442,"{""error"": null}"
18,2026-05-11T15:37:51.682744,session_20260511_152839,1,obj_005,,0,,,,,,31.067929,"{""error"": ""no_part_visible_wrist""}"
19,2026-05-11T15:41:57.730876,session_20260511_152839,1,obj_004,,1,1,1,,,,156.249042,"{""error"": null}"
20,2026-05-11T15:45:53.463485,session_20260511_152839,1,obj_005,,1,1,1,,,,165.867126,"{""error"": null}"
21,2026-05-11T15:53:44.850441,session_20260511_154913,1,obj_001,,1,1,1,,,,160.183636,"{""error"": null}"
22,2026-05-11T16:01:10.071059,session_20260511_155550,1,obj_002,,1,1,0,,,,178.748159,"{""error"": null}"
23,2026-05-11T16:08:58.032463,session_20260511_160412,1,obj_001,,1,1,1,,,,162.577435,"{""error"": null}"
24,2026-05-11T16:25:50.844868,session_20260511_162136,1,obj_001,,1,1,1,,,,143.885647,"{""error"": null}"
25,2026-05-11T16:34:46.005558,session_20260511_162958,1,obj_001,,1,1,1,,,,159.526799,"{""error"": null}"
26,2026-05-11T16:46:24.883158,session_20260511_163952,1,obj_001,,1,1,1,,,,267.418284,"{""error"": null}"
27,2026-05-11T16:56:01.172740,session_20260511_165152,1,obj_001,,1,1,1,,,,136.374276,"{""error"": null}"
28,2026-05-11T17:07:27.534818,session_20260511_170222,1,obj_001,,1,1,1,,,,158.908995,"{""error"": null}"
29,2026-05-11T17:24:00.344792,session_20260511_171739,1,obj_001,,1,1,1,,,,160.33015,"{""error"": null}"
30,2026-05-11T17:34:54.563129,session_20260511_172747,1,obj_001,,1,1,1,,,,158.607839,"{""error"": null}"
31,2026-05-11T17:53:21.897575,session_20260511_174611,1,obj_004,,1,1,1,,,,168.26114,"{""error"": null}"
32,2026-05-11T18:01:07.739417,session_20260511_175608,1,obj_004,,1,1,1,,,,171.804943,"{""error"": null}"
33,2026-05-11T18:14:05.019069,session_20260511_180913,1,obj_004,,1,1,1,,,,163.747747,"{""error"": null}"
34,2026-05-11T18:20:51.971213,session_20260511_181551,1,obj_004,,1,1,1,,,,172.974511,"{""error"": null}"
35,2026-05-11T18:29:02.290072,session_20260511_182354,1,obj_004,,1,1,1,,,,181.750277,"{""error"": null}"
36,2026-05-11T18:38:47.752652,session_20260511_183348,1,obj_004,,1,1,1,,,,177.381304,"{""error"": null}"
37,2026-05-11T18:46:54.014553,session_20260511_184126,1,obj_004,,1,1,1,,,,171.099034,"{""error"": null}"
38,2026-05-11T18:53:41.615190,session_20260511_185045,1,obj_004,,0,,,,,,36.240099,"{""error"": ""no_part_visible_wrist""}"
39,2026-05-11T19:00:46.063930,session_20260511_185532,1,obj_004,,1,1,1,,,,182.092743,"{""error"": null}"
40,2026-05-11T19:06:57.434704,session_20260511_190355,1,obj_004,,0,,,,,,36.789947,"{""error"": ""no_part_visible_wrist""}"
41,2026-05-11T19:14:09.814880,session_20260511_190840,1,obj_001,,1,1,1,,,,188.722153,"{""error"": null}"
42,2026-05-11T19:16:00.534646,session_20260511_190840,1,obj_002,,0,,,,,,37.693455,"{""error"": ""no_part_visible_wrist""}"
43,2026-05-11T19:17:36.825984,session_20260511_190840,1,obj_001,,0,,,,,,38.175256,"{""error"": ""no_part_visible_wrist""}"
44,2026-05-11T19:25:27.010829,session_20260511_192220,1,obj_001,,0,,,,,,45.494978,"{""error"": ""no_part_visible_wrist""}"
45,2026-05-11T19:36:35.378727,session_20260511_193123,1,obj_003,,1,1,1,,,,184.727515,"{""error"": null}"
46,2026-05-11T19:38:20.070565,session_20260511_193123,1,obj_006,,0,,,,,,36.127723,"{""error"": ""no_part_visible_wrist""}"
47,2026-05-11T19:40:37.669525,session_20260511_193123,1,obj_001,,0,,,,,,34.635038,"{""error"": ""no_part_visible_wrist""}"
48,2026-05-11T19:46:45.729400,session_20260511_194123,1,obj_001,,1,1,1,,,,185.146154,"{""error"": null}"
49,2026-05-11T19:48:31.160688,session_20260511_194123,1,obj_002,,0,,,,,,36.400499,"{""error"": ""no_part_visible_wrist""}"
50,2026-05-11T19:50:53.916005,session_20260511_194123,1,obj_001,,0,,,,,,34.025981,"{""error"": ""no_part_visible_wrist""}"
